Name,organism,country,city/state,county,isolation_source,host,collection_date, ,species
KX547258,West Nile virus,USA,NY, Ontario county,,corvus brachyrhynchos,38910,"    Direct Submission
  ",bird
KX547260,West Nile virus,USA,NY, Onondaga county,,corvus brachyrhynchos,38939,"    Direct Submission
  ",bird
KX547262,West Nile virus,USA,NY, Onondaga county,,corvus brachyrhynchos,38553,"    Direct Submission
  ",bird
KX547264,West Nile virus,USA, NY, Livingston county,,corvus brachyrhynchos,38215,"    Direct Submission
  ",bird
KX547270,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,38952,"    Direct Submission
  ",bird
KX547278,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,41169,"    Direct Submission
  ",bird
KX547281,West Nile virus,USA,NY, Cortland county,,corvus brachyrhynchos,38142,"    Direct Submission
  ",bird
KX547285,West Nile virus,USA,NY, Bronx county,,corvus brachyrhynchos,38215,"    Direct Submission
  ",bird
KX547288,West Nile virus,USA,NY, Bronx county,,corvus brachyrhynchos,37829,"    Direct Submission
  ",bird
KX547289,West Nile virus,USA,NY, Cortland county,,corvus brachyrhynchos,38630,"    Direct Submission
  ",bird
KX547290,West Nile virus,USA,NY, Schenectady county,,corvus brachyrhynchos,39307,"    Direct Submission
  ",bird
KX547296,West Nile virus,USA,NY,Columbia county,,corvus brachyrhynchos,38118,"    Direct Submission
  ",bird
KX547297,West Nile virus,USA,NY, Orleans county,,corvus brachyrhynchos,39300,"    Direct Submission
  ",bird
KX547299,West Nile virus,USA,NY, Otsego county,,corvus brachyrhynchos,37493,"    Direct Submission
  ",bird
KX547300,West Nile virus,USA,NY, Ulster county,,corvus brachyrhynchos,40042,"    Direct Submission
  ",bird
KX547302,West Nile virus,USA,NY, Bronx county,,corvus brachyrhynchos,38203,"    Direct Submission
  ",bird
KX547304,West Nile virus,USA,NY, Ulster county,,corvus brachyrhynchos,38232,"    Direct Submission
  ",bird
KX547305,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,37493,"    Direct Submission
  ",bird
KX547309,West Nile virus,USA,NY, Suffolk county,,corvus brachyrhynchos,39674,"    Direct Submission
  ",bird
KX547312,West Nile virus,USA,NY, Niagara county,,corvus brachyrhynchos,38127,"    Direct Submission
  ",bird
KX547313,West Nile virus,USA,NY, Oswego county,,corvus brachyrhynchos,38202,"    Direct Submission
  ",bird
KX547317,West Nile virus,USA, NY, Nassau county,,corvus brachyrhynchos,38195,"    Direct Submission
  ",bird
KX547319,West Nile virus,USA,NY, Rensselaer county,,corvus brachyrhynchos,40063,"    Direct Submission
  ",bird
KX547327,West Nile virus,USA,NY, Niagara county,,corvus brachyrhynchos,38953,"    Direct Submission
  ",bird
KX547332,West Nile virus,USA,NY, Bronx county,,corvus brachyrhynchos,38572,"    Direct Submission
  ",bird
KX547336,West Nile virus,USA,NY, Essex county,,corvus brachyrhynchos,37508,"    Direct Submission
  ",bird
KX547338,West Nile virus,USA,NY, Richmond county,,corvus brachyrhynchos,38604,"    Direct Submission
  ",bird
KX547341,West Nile virus,USA,NY, Dutchess county,,corvus brachyrhynchos,38383,"    Direct Submission
  ",bird
KX547345,West Nile virus,USA,NY, Rockland county,,corvus brachyrhynchos,38210,"    Direct Submission
  ",bird
KX547346,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,38156,"    Direct Submission
  ",bird
KX547347,West Nile virus,USA, NY, Monroe county,,corvus brachyrhynchos,38497,"    Direct Submission
  ",bird
KX547354,West Nile virus,USA,NY, Schoharie county,,corvus brachyrhynchos,37897,"    Direct Submission
  ",bird
KX547359,West Nile virus,USA, NY, Nassau county,,corvus brachyrhynchos,38943,"    Direct Submission
  ",bird
KX547360,West Nile virus,USA,NY, Putnam county,,corvus brachyrhynchos,38606,"    Direct Submission
  ",bird
KX547371,West Nile virus,USA, NY, Jefferson county,,corvus brachyrhynchos,39345,"    Direct Submission
  ",bird
KX547372,West Nile virus,USA,NY, Suffolk county,,corvus brachyrhynchos,40038,"    Direct Submission
  ",bird
KX547373,West Nile virus,USA,NY, Niagara county,,corvus brachyrhynchos,40086,"    Direct Submission
  ",bird
KX547397,West Nile virus,USA,NY, Rensselaer county,,corvus brachyrhynchos,38594,"    Direct Submission
  ",bird
KX547398,West Nile virus,USA, NY, Madison county,,corvus brachyrhynchos,37491,"    Direct Submission
  ",bird
KX547403,West Nile virus,USA,NY, Onondaga county,,corvus brachyrhynchos,38127,"    Direct Submission
  ",bird
KX547404,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,39678,"    Direct Submission
  ",bird
KX547405,West Nile virus,USA,NY, Tompkins county,,corvus brachyrhynchos,37842,"    Direct Submission
  ",bird
KX547409,West Nile virus,USA,NY, Putnam county,,corvus brachyrhynchos,37874,"    Direct Submission
  ",bird
KX547413,West Nile virus,USA,NY, Otsego county,,corvus brachyrhynchos,38566,"    Direct Submission
  ",bird
KX547415,West Nile virus,USA, NY, Monroe county,,corvus brachyrhynchos,38196,"    Direct Submission
  ",bird
KX547419,West Nile virus,USA,NY, Dutchess county,,corvus brachyrhynchos,39317,"    Direct Submission
  ",bird
KX547421,West Nile virus,USA,NY, Steuben county,,corvus brachyrhynchos,37483,"    Direct Submission
  ",bird
KX547424,West Nile virus,USA,NY, Onondaga county,,corvus brachyrhynchos,39273,"    Direct Submission
  ",bird
KX547435,West Nile virus,USA, NY, Kings county,,corvus brachyrhynchos,38947,"    Direct Submission
  ",bird
KX547439,West Nile virus,USA,NY, Niagara county,,corvus brachyrhynchos,37847,"    Direct Submission
  ",bird
KX547440,West Nile virus,USA,NY, Suffolk county,,corvus brachyrhynchos,39679,"    Direct Submission
  ",bird
KX547446,West Nile virus,USA,NY, Wyoming county,,corvus brachyrhynchos,38145,"    Direct Submission
  ",bird
KX547447,West Nile virus,USA,NY, Suffolk county,,corvus brachyrhynchos,39302,"    Direct Submission
  ",bird
KX547448,West Nile virus,USA,NY, Cayuga county,,corvus brachyrhynchos,37497,"    Direct Submission
  ",bird
KX547451,West Nile virus,USA, NY, Monroe county,,corvus brachyrhynchos,38951,"    Direct Submission
  ",bird
KX547452,West Nile virus,USA, NY, Nassau county,,corvus brachyrhynchos,39308,"    Direct Submission
  ",bird
KX547459,West Nile virus,USA,NY, Wyoming county,,corvus brachyrhynchos,37525,"    Direct Submission
  ",bird
KX547462,West Nile virus,USA, NY, Jefferson county,,corvus brachyrhynchos,38167,"    Direct Submission
  ",bird
KX547470,West Nile virus,USA,NY, Erie county,,corvus brachyrhynchos,39303,"    Direct Submission
  ",bird
KX547475,West Nile virus,USA,NY, Orleans county,,corvus brachyrhynchos,38935,"    Direct Submission
  ",bird
KX547487,West Nile virus,USA,NY, New York county,,corvus brachyrhynchos,38264,"    Direct Submission
  ",bird
KX547489,West Nile virus,USA,NY, Richmond county,,corvus brachyrhynchos,38197,"    Direct Submission
  ",bird
KX547490,West Nile virus,USA,NY, Chemung county,,corvus brachyrhynchos,37505,"    Direct Submission
  ",bird
KX547491,West Nile virus,USA,NY, Queens county,,corvus brachyrhynchos,39329,"    Direct Submission
  ",bird
KX547493,West Nile virus,USA,NY, Orange county,,corvus brachyrhynchos,38249,"    Direct Submission
  ",bird
KX547494,West Nile virus,USA,NY, Schenectady county,,corvus brachyrhynchos,40433,"    Direct Submission
  ",bird
KX547496,West Nile virus,USA,NY, Niagara county,,corvus brachyrhynchos,39288,"    Direct Submission
  ",bird
KX547498,West Nile virus,USA,NY, Erie county,,corvus brachyrhynchos,40065,"    Direct Submission
  ",bird
KX547499,West Nile virus,USA,NY, Herkimer county,,corvus brachyrhynchos,38182,"    Direct Submission
  ",bird
KX547500,West Nile virus,USA,NY, Dutchess county,,corvus brachyrhynchos,39317,"    Direct Submission
  ",bird
KX547501,West Nile virus,USA,NY, Queens county,,corvus brachyrhynchos,38240,"    Direct Submission
  ",bird
KX547506,West Nile virus,USA, NY, Lewis county,,corvus brachyrhynchos,37489,"    Direct Submission
  ",bird
KX547508,West Nile virus,USA, NY, Lewis county,,corvus brachyrhynchos,38600,"    Direct Submission
  ",bird
KX547512,West Nile virus,USA,NY, Chautauqua county,,corvus brachyrhynchos,38586,"    Direct Submission
  ",bird
KX547515,West Nile virus,USA,NY, Schenectady county,,corvus brachyrhynchos,40058,"    Direct Submission
  ",bird
KX547517,West Nile virus,USA,NY, Ulster county,,corvus brachyrhynchos,40060,"    Direct Submission
  ",bird
KX547518,West Nile virus,USA,NY,Columbia county,,corvus brachyrhynchos,40056,"    Direct Submission
  ",bird
KX547521,West Nile virus,USA,NY, Schuyler county,,corvus brachyrhynchos,38582,"    Direct Submission
  ",bird
KX547523,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,38549,"    Direct Submission
  ",bird
KX547525,West Nile virus,USA, NY, Montgomery county,,corvus brachyrhynchos,37501,"    Direct Submission
  ",bird
KX547533,West Nile virus,USA,NY,Cattaraugus county,,corvus brachyrhynchos,38127,"    Direct Submission
  ",bird
KX547536,West Nile virus,USA,NY, Chautauqua county,,corvus brachyrhynchos,38139,"    Direct Submission
  ",bird
KX547542,West Nile virus,USA,NY, Erie county,,corvus brachyrhynchos,38145,"    Direct Submission
  ",bird
KX547545,West Nile virus,USA, NY, Monroe county,,corvus brachyrhynchos,39353,"    Direct Submission
  ",bird
KX547546,West Nile virus,USA,NY, Otsego county,,corvus brachyrhynchos,38979,"    Direct Submission
  ",bird
KX547549,West Nile virus,USA,NY, Cortland county,,corvus brachyrhynchos,37896,"    Direct Submission
  ",bird
KX547561,West Nile virus,USA,NY, Suffolk county,,corvus brachyrhynchos,40057,"    Direct Submission
  ",bird
KX547564,West Nile virus,USA,NY, Suffolk county,,corvus brachyrhynchos,37487,"    Direct Submission
  ",bird
KX547567,West Nile virus,USA,NY, Cortland county,,corvus brachyrhynchos,38955,"    Direct Submission
  ",bird
KX547568,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,40410,"    Direct Submission
  ",bird
KX547569,West Nile virus,USA,NY, Chautauqua county,,corvus brachyrhynchos,38938,"    Direct Submission
  ",bird
KX547577,West Nile virus,USA,NY, Herkimer county,,corvus brachyrhynchos,38182,"    Direct Submission
  ",bird
KX547580,West Nile virus,USA,NY, Niagara county,,corvus brachyrhynchos,39673,"    Direct Submission
  ",bird
KX547583,West Nile virus,USA,NY, Suffolk county,,corvus brachyrhynchos,38142,"    Direct Submission
  ",bird
KX547584,West Nile virus,USA,NY, Chemung county,,corvus brachyrhynchos,37505,"    Direct Submission
  ",bird
KX547585,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,40058,"    Direct Submission
  ",bird
KX547598,West Nile virus,USA,NY, Dutchess county,,corvus brachyrhynchos,40059,"    Direct Submission
  ",bird
KX547600,West Nile virus,USA,NY, Rensselaer county,,corvus brachyrhynchos,40434,"    Direct Submission
  ",bird
KX547603,West Nile virus,USA,NY, Saratoga county,,corvus brachyrhynchos,37519,"    Direct Submission
  ",bird
KX547605,West Nile virus,USA, NY, Lewis county,,corvus brachyrhynchos,38179,"    Direct Submission
  ",bird
KX547611,West Nile virus,USA,NY,Columbia county,,corvus brachyrhynchos,40052,"    Direct Submission
  ",bird
KX547615,West Nile virus,USA,NY, Suffolk county,,corvus brachyrhynchos,38924,"    Direct Submission
  ",bird
KX547616,West Nile virus,USA, NY, Kings county,,corvus brachyrhynchos,39345,"    Direct Submission
  ",bird
KX547618,West Nile virus,USA,NY, Ulster county,,corvus brachyrhynchos,37889,"    Direct Submission
  ",bird
KX547620,West Nile virus,USA, NY, Jefferson county,,corvus brachyrhynchos,37497,"    Direct Submission
  ",bird
MH170256,West Nile virus,USA, CO, Fort Collins,bird,corvus brachyrhynchos,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird
MH170270,West Nile virus,USA, GA, Henry County,bird,corvus brachyrhynchos,2004,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird
MH170273,West Nile virus,USA, GA, Lowndes County,bird,corvus brachyrhynchos,2001,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird
MH170275,West Nile virus,USA, GA, Dekalb County County,bird,corvus brachyrhynchos,2002,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird
MH170276,West Nile virus,USA, GA, Dekalb County County,bird,corvus brachyrhynchos,2001,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird
DQ374652,West Nile virus,Russia,,,,corvus corone,,"    Direct Submission
  ",bird
DQ374653,West Nile virus,Russia,,,,corvus corone,,"    Direct Submission
  ",bird
DQ411031,West Nile virus,Russia,,,,corvus corone,,"    Direct Submission
  ",bird
OP609809,West Nile virus,Italy,,,,corvus corone,44776,"    Rapid spread of a new West Nile virus lineage 1 associated with
            increased risk of neuroinvasive disease during a large outbreak in
            northern Italy, 2022: One Health analysis
  ",bird
OP609812,West Nile virus,Italy,,,,corvus corone,44780,"    Rapid spread of a new West Nile virus lineage 1 associated with
            increased risk of neuroinvasive disease during a large outbreak in
            northern Italy, 2022: One Health analysis
  ",bird
OP609815,West Nile virus,Italy,,,,corvus corone,44790,"    Rapid spread of a new West Nile virus lineage 1 associated with
            increased risk of neuroinvasive disease during a large outbreak in
            northern Italy, 2022: One Health analysis
  ",bird
DQ377179,West Nile virus,Russia,,,,corvus frugilegus,,"    West Nile virus isolate Ast02-2-298 complete genome sequence
  ",bird
KX547172,West Nile virus,USA,NY, Greene county,,corvus ossifragus,40058,"    Direct Submission
  ",bird
KX547484,West Nile virus,USA,NY, Genesee county,,corvus ossifragus,37530,"    Direct Submission
  ",bird
KX547522,West Nile virus,USA, NY, Nassau county,,corvus ossifragus,40035,"    Direct Submission
  ",bird
W299,,,CA,Kern,,costa's hummingbird,39626,,bird
W1856,,,IA,Polk,,cpg,44004,,
W1863,,,IA,Polk,,cpg,44061,,
W1866,,,IA,Polk,,cpg,44067,,
W1920,,,IA,Polk,,cpg,42601,,
W1966,,,IA,Pottawattamie,,cpg,42940,,
W0965,,,NH,Rockingham,,cq. perturbans,43321,,mosquito
W0968,,,NH,Hillsborough,,cq. perturbans,43325,,mosquito
LC817237,West Nile virus,Zambia,,,,crocodylus niloticus,2019,"    African lineage 1a West Nile virus isolated from crocodiles
            exhibits low neuroinvasiveness in mice
  ",other_species
AF404753,West Nile virus,USA,MD,,,crow,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  ",bird
AF404756,West Nile virus,USA,NY,,,crow,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  ",bird
DQ080057,,,CA,Los Angeles,,crow,2003,,bird
DQ080058,,,CA,Los Angeles,,crow,2003,,bird
FJ151394,West Nile virus,USA,NY, New York City,,crow,1999,"    Helices alpha2 and alpha3 of West Nile virus capsid protein are
            dispensable for assembly of infectious virions
  ",bird
GQ379156,West Nile virus,USA,,,,crow,37073,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",bird
GQ379157,West Nile virus,USA,CA,,,crow,39661,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",bird
HQ596519,West Nile virus,USA,,,,crow,1999,"    Virulence determinants between New York 99 and Kunjin strains of
            West Nile virus
  ",bird
ON994910,West Nile virus,USA,CT,Brandford,,crow,44458,"    Direct Submission
  ",bird
W0926,,,WA,Spokane,,crow,2016,,bird
W0943,,,OR,Josephine,,crow,2016,,bird
W1383,,,MN,Redwood,,crow,37476,,bird
W1384,,,MN,Ramsey,,crow,37476,,bird
W1385,,,MN,Anoka,,crow,37476,,bird
W1386,,,MN,Otter Tail,,crow,37483,,bird
W1387,,,MN,Ramsey,,crow,37477,,bird
W1388,,,MN,Lyon,,crow,37477,,bird
W1389,,,MN,Nobles,,crow,37477,,bird
W1391,,,MN,Filmore,,crow,37476,,bird
W1392,,,MN,Hennepin,,crow,37476,,bird
W1393,,,MN,Brown,,crow,37475,,bird
W1394,,,MN,Nicollet,,crow,37475,,bird
W1395,,,MN,Big Stone,,crow,37475,,bird
W1396,,,MN,Stevens,,crow,37475,,bird
W1397,,,MN,Hennepin,,crow,37475,,bird
W1399,,,MN,Hennepin,,crow,37475,,bird
W1400,,,MN,Pope,,crow,37475,,bird
W1401,,,MN,Anoka,,crow,37475,,bird
W1408,,,MN,Hennepin,,crow,37475,,bird
W1409,,,MN,Ramsey,,crow,37475,,bird
W1411,,,MN,Benton,,crow,37475,,bird
W1412,,,MN,Hennepin,,crow,37475,,bird
W0951,,,NH,Rockingham,,cs. melanura,41548,,mosquito
W0959,,,NH,Rockingham,,cs. melanura,42993,,mosquito
W0960,,,NH,Strafford,,cs. melanura,42997,,mosquito
W0961,,,NH,Rockingham,,cs. melanura,43013,,mosquito
W0962,,,NH,Rockingham,,cs. melanura,43013,,mosquito
W0981,,,NH,Rockingham,,cs. melanura,43354,,mosquito
W0983,,,NH,Rockingham,,cs. melanura,43354,,mosquito
W0984,,,NH,Rockingham,,cs. melanura,43354,,mosquito
W0985,,,NH,Rockingham,,cs. melanura,43356,,mosquito
W0987,,,NH,Rockingham,,cs. melanura,43361,,mosquito
W0953,,,NH,Rockingham,,cs. morsitans,42257,,mosquito
W0990,,,NH,Rockingham,,cs. morsitans,43377,,mosquito
W202,,,CA,Butte,,culex erythrothorax,41500,,mosquito
W204,,,CA,Lake,,culex erythrothorax,41528,,mosquito
MH170257,West Nile virus,USA, GA, Lawnder County,mosquito,culex nigripalpus,2005,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
OQ357819,West Nile virus,Spain,,,,culex perexiguus,2022,"    Re-Emergence of a West Nile Virus (WNV) Variant in South Spain with
            Rapid Spread Capacity
  ",mosquito
OQ357820,West Nile virus,Spain,,,,culex perexiguus,,"    Re-Emergence of a West Nile Virus (WNV) Variant in South Spain with
            Rapid Spread Capacity
  ",mosquito
OQ357821,West Nile virus,Spain,,,,culex perexiguus,2022,"    Re-Emergence of a West Nile Virus (WNV) Variant in South Spain with
            Rapid Spread Capacity
  ",mosquito
OQ357822,West Nile virus,Spain,,,,culex perexiguus,2022,"    Re-Emergence of a West Nile Virus (WNV) Variant in South Spain with
            Rapid Spread Capacity
  ",mosquito
AF206518,West Nile virus,USA,CT,Greenwich-Stanford town,,culex pipiens,,"    Isolation of West Nile virus from mosquitoes, crows, and a Cooper's
            hawk in Connecticut
  ",mosquito
AF260969,West Nile virus,Romania,,,,culex pipiens,,"    Entomologic and avian investigations of an epidemic of West Nile
            fever in Romania in 1996, with serologic and molecular
            characterization of a virus isolate from mosquitoes
  ",mosquito
HM488121,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488122,West Nile virus,,,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488123,West Nile virus,,,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488131,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488133,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488137,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2002,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488141,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488148,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488151,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488156,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488157,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488158,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488160,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488161,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488162,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488163,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488164,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488165,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488166,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488167,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488168,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488169,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488170,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488198,West Nile virus,USA,IL,,,culex pipiens,2005,"    Direct Submission
  ",mosquito
HM488214,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488218,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488219,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM756649,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM756653,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM756657,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HQ671707,West Nile virus,USA,CT,,cell supernatant,culex pipiens,1999,"    Direct Submission
  ",mosquito
HQ671709,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2000,"    Direct Submission
  ",mosquito
HQ671710,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2000,"    Direct Submission
  ",mosquito
HQ671711,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2000,"    Direct Submission
  ",mosquito
HQ671715,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2001,"    Direct Submission
  ",mosquito
HQ671719,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2001,"    Direct Submission
  ",mosquito
JF730043,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2002,"    Direct Submission
  ",mosquito
JF920740,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito
JF920741,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito
JF920742,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito
JF920743,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito
JF920744,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito
JF920745,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito
JF920746,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito
JF920748,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito
JF920749,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito
JF920750,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito
JF920752,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito
JF920754,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito
JF920755,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito
JF920756,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito
JF920757,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito
JF920759,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2009,"    Direct Submission
  ",mosquito
JF920760,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2009,"    Direct Submission
  ",mosquito
JQ700437,West Nile virus,USA,,,,culex pipiens,2003,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",mosquito
KJ501098,West Nile virus,USA,,,mosquito pool,culex pipiens,2011,"    Direct Submission
  ",mosquito
KJ501101,West Nile virus,USA,,,mosquito pool,culex pipiens,2009,"    Direct Submission
  ",mosquito
KJ501218,West Nile virus,USA,,,mosquito pool,culex pipiens,2012,"    Direct Submission
  ",mosquito
KJ501225,West Nile virus,USA,,,mosquito pool,culex pipiens,2012,"    Direct Submission
  ",mosquito
KY216149,West Nile virus,USA,,,,culex pipiens,41080,"    High levels of local inter- and intra-host genetic variation of
            West Nile virus and evidence of fine-scale evolutionary pressures
  ",mosquito
KY216150,West Nile virus,USA,,,,culex pipiens,41101,"    High levels of local inter- and intra-host genetic variation of
            West Nile virus and evidence of fine-scale evolutionary pressures
  ",mosquito
KY216151,West Nile virus,USA,,,,culex pipiens,41107,"    High levels of local inter- and intra-host genetic variation of
            West Nile virus and evidence of fine-scale evolutionary pressures
  ",mosquito
KY216152,West Nile virus,USA,,,,culex pipiens,41107,"    High levels of local inter- and intra-host genetic variation of
            West Nile virus and evidence of fine-scale evolutionary pressures
  ",mosquito
KY216153,West Nile virus,USA,,,,culex pipiens,41115,"    High levels of local inter- and intra-host genetic variation of
            West Nile virus and evidence of fine-scale evolutionary pressures
  ",mosquito
