Name,ecotype_number,organism,country,city/state,county,isolation_source,host,collection_date, ,species,group
DQ080060,30,,Mexico,Baja Calfornia Norte,,,,,,,
DQ080061,83,,,LA,,,northern cardinal,2004,,bird,Passeriformes
DQ080062,91,,,LA,,,mosquito,2002,,mosquito,
DQ080063,9,,Mexico,Baja Calfornia Norte,,,pigeon,,,bird,Columbiformes
DQ080064,9,,Mexico,Baja Calfornia Norte,,,coot,,,bird,Other Birds
DQ080065,9,,Mexico,Baja Calfornia Norte,,,grackle,,,bird,Passeriformes
DQ080066,9,,Mexico,Baja Calfornia Norte,,,cormorant,,,bird,Other Birds
DQ080067,9,,Mexico,Baja Calfornia Norte,,,green heron,,,bird,Other Birds
DQ080068,9,,Mexico,Baja Calfornia Norte,,,blue heron,,,bird,Other Birds
DQ080069,9,,Mexico,Baja Calfornia Norte,,,horse,,,other_species,
DQ080070,9,,Mexico,Sonora,,,grackle,,,bird,Passeriformes
DQ080071,91,,,FL,Sumter Co.,,horse,2002,,other_species,
DQ080072,91,,,FL,Palm Beach Co.,,catbird,2001,,bird,Passeriformes
DQ118127,101,West Nile virus,Hungary,,,,goose,,"    Lineage 1 and 2 strains of encephalitic West Nile virus, central
            Europe
  ",bird,Other Birds
DQ164186,83,West Nile virus,USA,NY,Queens county,,american crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164187,98,West Nile virus,USA,NY,Broome,,american crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164188,99,West Nile virus,USA,NY,Westchester,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164189,82,West Nile virus,USA,NY,Albany,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164190,83,West Nile virus,USA,NY,Suffolk county,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164191,18,West Nile virus,USA,NY,Chautauqua county,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164192,98,West Nile virus,USA,NY,Rockland county,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164193,18,West Nile virus,USA,NY,Clinton,,american crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164194,96,West Nile virus,USA,NY,Suffolk county,,american crow,2001,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
DQ164195,89,West Nile virus,USA,NY,Nassau county,,culex pipiens/restuans,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",mosquito,Culex
DQ164196,18,West Nile virus,USA,GA,,,human  plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",human,
DQ164197,18,West Nile virus,USA,GA,,,human  brain,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",human,
DQ164198,20,West Nile virus,USA,TX,,,human  plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",human,
DQ164199,19,West Nile virus,USA,TX,,,human  plasma,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",human,
DQ164200,18,West Nile virus,USA,IN,,,human  plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",human,
DQ164201,1,West Nile virus,USA,AZ,,,human  plasma,2004,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",human,
DQ164202,91,West Nile virus,USA,OH,,,human  plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",human,
DQ164203,15,West Nile virus,USA,CO,,,magpie,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,Passeriformes
DQ164204,44,West Nile virus,USA,CO,,,red tailed hawk,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,Accipitriformes
DQ164205,20,West Nile virus,USA,TX,,,human  plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",human,
DQ164206,86,West Nile virus,USA,TX,Harris County,,bluejay,2004,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,Blue Jay
DQ176637,41,West Nile virus,USA,TX,Hall County,grackle (Quiscalus quiscula),grackle (quiscalus quiscula),,"    Resistance to alpha/beta interferon is a determinant of West Nile
            virus replication fitness and virulence
  ",bird,Passeriformes
DQ374650,103,West Nile virus,Russia,,,,phalacrocorax carbo (l.).,,"    Direct Submission
  ",bird,Other Birds
DQ374651,103,West Nile virus,Russia,,,,pica pica,,"    Direct Submission
  ",bird,Passeriformes
DQ374652,103,West Nile virus,Russia,,,,corvus corone,,"    Direct Submission
  ",bird,Passeriformes
DQ374653,103,West Nile virus,Russia,,,,corvus corone,,"    Direct Submission
  ",bird,Passeriformes
DQ377178,103,West Nile virus,Russia,,,,hyalomma marginatum,,"    West Nile virus isolate Ast02-2-26 complete genome sequence
  ",mosquito,
DQ377179,103,West Nile virus,Russia,,,,corvus frugilegus,,"    West Nile virus isolate Ast02-2-298 complete genome sequence
  ",bird,Passeriformes
DQ377180,103,West Nile virus,Russia,,,,phalacrocorax carbo,,"    West Nile virus isolate Ast02-3-208 complete genome sequence
  ",bird,Other Birds
DQ411029,103,West Nile virus,Russia,,,,phalacrocorax carbo,,"    Direct Submission
  ",bird,Other Birds
DQ411030,103,West Nile virus,Russia,,,,hyalomma marginatum,,"    Direct Submission
  ",mosquito,
DQ411031,103,West Nile virus,Russia,,,,corvus corone,,"    Direct Submission
  ",bird,Passeriformes
DQ411032,103,West Nile virus,Russia,,,,columba livia,,"    Direct Submission
  ",bird,Columbiformes
DQ411033,103,West Nile virus,Russia,,,,phalacrocorax carbo,,"    Direct Submission
  ",bird,Other Birds
DQ411034,103,West Nile virus,Russia,,,,anopheles messeae,,"    Direct Submission
  ",mosquito,Anopheles
DQ411035,103,West Nile virus,Russia,,,,anopheles messeae,,"    Direct Submission
  ",mosquito,Anopheles
DQ431693,18,,,TX,,,human  plasma,2003,,human,
DQ431694,25,,,TX,,,human  plasma,2003,,human,
DQ431695,18,,,IL,,,human  plasma,2003,,human,
DQ431696,18,,,WI,,,human  plasma,2003,,human,
DQ431697,91,,,FL,,,human  plasma,2003,,human,
DQ431698,82,,,FL,,,human  plasma,2003,,human,
DQ431699,20,,,FL,,,human  plasma,2003,,human,
DQ431700,29,,,CA,,,human  plasma,2004,,human,
DQ431701,18,,,CO,,,human  plasma,2004,,human,
DQ431702,1,,,CO,,,human  plasma,2004,,human,
DQ431703,18,,,CO,,,human  plasma,2004,,human,
DQ431704,1,,,CO,,,human  plasma,2004,,human,
DQ431705,25,,,ND,,,human  plasma,2004,,human,
DQ431706,10,,,NM,,,human  plasma,2004,,human,
DQ431707,10,,,NM,,,human  plasma,2004,,human,
DQ431708,29,,,CA,,,human  plasma,2004,,human,
DQ431709,28,,,CA,,,human  plasma,2004,,human,
DQ431710,27,,,CA,,,human  plasma,2004,,human,
DQ431711,1,,,AZ,,,human  plasma,2004,,human,
DQ431712,4,,,AZ,,,human  plasma,2004,,human,
DQ666448,1,West Nile virus,USA,AZ,,,human  plasma,2004,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  ",human,
DQ666449,1,West Nile virus,USA,TX,,,human  plasma,2005,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  ",human,
DQ666450,20,West Nile virus,USA,TX,,,human  plasma,2005,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  ",human,
DQ666451,1,West Nile virus,USA,AZ,,,human  plasma,2005,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  ",human,
DQ666452,12,West Nile virus,USA,SD,,,human  plasma,2005,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  ",human,
DQ786572,105,,France,,,brain,house sparrow,,,bird,Passeriformes
EF530047,99,West Nile virus,USA,,,kidney,american crow,2000,"    Characterization of a small plaque variant of West Nile virus
            isolated in New York in 2000
  ",bird,American Crow
EF571854,97,West Nile virus,USA,,,,,,"    Consensus genomic sequence of West Nile Virus 385-99 after one
            passage in Vero cells
  ",,
EF657887,99,West Nile virus,USA,,,kidney,american crow,2000,"    Characterization of a small plaque variant of West Nile virus
            isolated in New York in 2000
  ",bird,American Crow
EU081844,107,West Nile virus,Egypt,,,,,,"    Nucleotide sequence confirmation and genetic stability of West Nile
            virus strain Egypt 101 after several passages in Vero cells
  ",,
EU155484,25,West Nile virus,USA,,,,,,"    SYBR green-based real-time quantitative PCR assay for detection of
            West Nile Virus circumvents false-negative results due to strain
            variability
  ",,
EU249803,107,West Nile virus,,,,,rousettus leschenaultii,1968,"    Genomic characterization of a highly virulent West Nile virus
            lineage 1 strain isolated in India
  ",other_species,
FJ151394,96,West Nile virus,USA,NY,New York City,,crow,1999,"    Helices alpha2 and alpha3 of West Nile virus capsid protein are
            dispensable for assembly of infectious virions
  ",bird,Passeriformes
FJ411043,98,West Nile virus,,,,,,,"    Development and application of West Nile virus subgenomic replicon
            RNA expressing secreted alkaline phosphatase
  ",,
FJ483548,105,West Nile virus,Italy,,,magpie,,2008,"    Direct Submission
  ",,
FJ483549,105,West Nile virus,Italy,,,magpie,,2008,"    Direct Submission
  ",,
FJ527738,97,West Nile virus,USA,LA,,,blue jay,2001,"    Complete genome analysis and virulence characteristics of the
            Louisiana West Nile virus strain LSU-AR01
  ",bird,Blue Jay
FJ766331,105,,Spain,,,,golden eagle,,,bird,Accipitriformes
FJ766332,105,,Spain,,,,golden eagle,,,bird,Accipitriformes
GQ379156,91,West Nile virus,USA,,,,crow,37073,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",bird,Passeriformes
GQ379157,27,West Nile virus,USA,CA,,,crow,39661,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",bird,Passeriformes
GQ379158,28,West Nile virus,USA,CA,,,culex tarsalis,39295,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",mosquito,Culex
GQ379159,2,West Nile virus,USA,CA,,,fox squirrel,39661,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",other_species,
GQ379160,97,West Nile virus,Argentina,,,brain,equine,38749,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",other_species,
GQ379161,97,West Nile virus,Argentina,,,brain,equine,38749,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",other_species,
GQ851606,106,,West Africa,Senegal,,,,,,,
GQ851607,106,,Nigeria,,,,,,,,
GQ851608,104,,Central African Republic,,,,,,,,
GU011992,105,West Nile virus,Italy,,,blood donor,homo sapiens,2009,"    Genome sequence analysis of the first human West Nile virus
            isolated in Italy in 2009
  ",human,
GU827998,46,,,TX,Hall County,,blue jay,2002,,bird,Blue Jay
GU827999,19,,,TX,,,bluejay,2003,,bird,Blue Jay
GU828000,19,,,TX,Hall County,,bluejay,2003,,bird,Blue Jay
GU828001,18,,,TX,Hall County,,culex quinquefasciatus,2003,,mosquito,Culex
GU828002,18,,,TX,Hall County,,culex quinquefasciatus,2003,,mosquito,Culex
GU828003,18,,,TX,Jefferson County,,mourning dove,2003,,bird,Columbiformes
GU828004,18,,,TX,Montgomery County,,bluejay,2003,,bird,Blue Jay
HM051416,107,West Nile virus,Israel,,,,homo sapiens,1953,"    Direct Submission
  ",human,
HM488114,56,West Nile virus,USA,CT,,cell supernatant,aedes cinereus,2002,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488115,82,West Nile virus,USA,CT,,cell supernatant,culex salinarius,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488116,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488117,82,West Nile virus,USA,CT,,cell supernatant,ochlerotatus triseriatus,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488118,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488119,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488120,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488121,21,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488122,21,West Nile virus,,,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488123,21,West Nile virus,,,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488124,21,West Nile virus,,,,cell supernatant,mesocricetus auratus,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",other_species,
HM488125,97,West Nile virus,USA,CT,,cell supernatant,corvus brachyrhynchos,1999,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",bird,American Crow
HM488126,97,West Nile virus,USA,CT,,cell supernatant,corvus brachyrhynchos,1999,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",bird,American Crow
HM488127,97,West Nile virus,USA,CT,,cell supernatant,corvus brachyrhynchos,1999,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",bird,American Crow
HM488128,97,West Nile virus,USA,CT,,cell supernatant,corvus brachyrhynchos,1999,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",bird,American Crow
HM488129,98,West Nile virus,USA,CT,,cell supernatant,culex salinarius,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488130,99,West Nile virus,USA,CT,,cell supernatant,culex salinarius,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488131,95,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488132,97,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culiseta
HM488133,97,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488134,97,West Nile virus,USA,CT,,cell supernatant,ochlerotatus sollicitans,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488135,97,West Nile virus,USA,CT,,cell supernatant,ochlerotatus cantator,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488136,97,West Nile virus,USA,CT,,cell supernatant,culex restuans,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488137,54,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2002,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488138,54,West Nile virus,USA,CT,,cell supernatant,culex restuans,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488139,56,West Nile virus,USA,CT,,cell supernatant,culex salinarius,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488140,83,West Nile virus,USA,CT,,cell supernatant,aedes vexans,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488141,56,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488142,86,West Nile virus,USA,CT,,cell supernatant,ochlerotatus triseriatus,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488143,53,West Nile virus,USA,CT,,cell supernatant,aedes cinereus,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488144,20,West Nile virus,USA,CT,,cell supernatant,culex restuans,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488145,20,West Nile virus,USA,CT,,cell supernatant,aedes vexans,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488146,20,West Nile virus,USA,CT,,cell supernatant,psorophora ferox,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Psorophora and Coquillettidia
HM488147,86,West Nile virus,USA,CT,,cell supernatant,culex salinarius,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488148,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488149,82,West Nile virus,USA,CT,,cell supernatant,ochlerotatus cantator,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488151,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488152,82,West Nile virus,USA,CT,,cell supernatant,aedes vexans,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Aedes and Ochlerotatus
HM488153,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488154,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488155,21,West Nile virus,USA,CT,,cell supernatant,culex restuans,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488156,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488157,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488158,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488159,20,West Nile virus,USA,CT,,cell supernatant,culex salinarius,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488160,20,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488161,20,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488162,25,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488163,20,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
HM488164,20,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito,Culex
